productid;businessentityid;averageleadtime;standardprice;lastreceiptcost;lastreceiptdate;minorderqty;maxorderqty;onorderqty;unitmeasurecode;modifieddate 
1;1580;17;47,87;50,2635;29/08/2011;1;5;3;CS ;29/08/2011
2;1688;19;39,92;41,916;29/08/2011;1;5;3;CTN;29/08/2011
4;1650;17;54,31;57,0255;29/08/2011;1;5;;CTN;29/08/2011
317;1578;19;28,17;29,5785;29/08/2011;100;1000;300;EA ;29/08/2011
317;1678;17;25,77;27,0585;25/08/2011;100;1000;;EA ;25/08/2011
318;1578;19;34,38;36,099;29/08/2011;100;1000;;EA ;29/08/2011
318;1678;17;31,98;33,579;25/08/2011;100;1000;300;EA ;25/08/2011
319;1556;19;44,21;46,4205;29/08/2011;100;1000;300;EA ;29/08/2011
319;1578;19;46,27;48,5835;29/08/2011;100;1000;;EA ;29/08/2011
319;1678;17;43,87;46,0635;25/08/2011;100;1000;;EA ;25/08/2011
320;1514;19;47,28;49,644;29/08/2011;1;5;3;CAN;29/08/2011
320;1602;17;45,21;47,4705;19/08/2011;1;5;;CAN;19/08/2011
320;1604;17;43,21;45,3705;25/08/2011;1;5;;CAN;25/08/2011
321;1514;19;42,21;44,3205;29/08/2011;1;5;;CAN;29/08/2011
321;1602;17;40,76;42,798;19/08/2011;1;5;;CAN;19/08/2011
321;1604;17;38,56;40,488;25/08/2011;1;5;;CAN;25/08/2011
322;1514;19;27,33;28,6965;24/08/2011;20;100;;DZ ;24/08/2011
322;1602;17;24,21;25,4205;25/08/2011;20;100;;DZ ;25/08/2011
322;1604;17;25,11;26,3655;25/08/2011;20;100;;DZ ;25/08/2011
323;1698;17;47,87;50,2635;25/08/2011;1;5;;CS ;25/08/2011
325;1590;19;0,2;0,21;29/08/2011;500;2000;;EA ;29/08/2011
326;1590;19;0,2;0,21;29/08/2011;500;2000;;EA ;29/08/2011
332;1608;19;10,3;10,815;29/08/2011;100;1000;;EA ;29/08/2011
341;1598;15;39,21;41,1705;26/08/2011;1;5;3;CTN;26/08/2011
341;1614;19;45,31;47,5755;28/08/2011;1;5;;CTN;28/08/2011
341;1622;19;45,21;47,4705;22/08/2011;1;5;;CTN;22/08/2011
342;1598;15;37,21;39,0705;26/08/2011;1;5;3;CTN;26/08/2011
342;1614;19;43,31;45,4755;28/08/2011;1;5;;CTN;28/08/2011
342;1622;19;43,21;45,3705;22/08/2011;1;5;;CTN;22/08/2011
343;1598;15;41,28;43,344;26/08/2011;1;5;;CTN;26/08/2011
343;1614;19;47,38;49,749;28/08/2011;1;5;;CTN;28/08/2011
343;1622;19;47,28;49,644;22/08/2011;1;5;;CTN;22/08/2011
344;1598;15;37,21;39,0705;07/08/2011;1;5;3;CTN;07/08/2011
344;1614;19;43,31;45,4755;28/08/2011;1;5;;CTN;28/08/2011
344;1622;19;43,21;45,3705;28/08/2011;1;5;;CTN;28/08/2011
345;1598;15;35,21;36,9705;07/08/2011;1;5;3;CTN;07/08/2011
345;1614;19;41,31;43,3755;28/08/2011;1;5;;CTN;28/08/2011
345;1622;19;41,21;43,2705;28/08/2011;1;5;;CTN;28/08/2011
346;1598;15;39,28;41,244;13/08/2011;1;5;;CTN;13/08/2011
346;1614;19;45,38;47,649;28/08/2011;1;5;;CTN;28/08/2011
346;1622;19;45,28;47,544;28/08/2011;1;5;;CTN;28/08/2011
347;1598;15;35,21;36,9705;13/08/2011;1;5;3;CTN;13/08/2011
347;1614;19;41,31;43,3755;17/08/2011;1;5;;CTN;17/08/2011
347;1622;19;41,21;43,2705;28/08/2011;1;5;;CTN;28/08/2011
348;1598;15;33,21;34,8705;20/08/2011;1;5;3;CTN;20/08/2011
348;1614;19;39,31;41,2755;17/08/2011;1;5;;CTN;17/08/2011
348;1622;19;39,21;41,1705;28/08/2011;1;5;;CTN;28/08/2011
349;1598;15;37,28;39,144;20/08/2011;1;5;3;CTN;20/08/2011
349;1614;19;43,38;45,549;22/08/2011;1;5;;CTN;22/08/2011
349;1622;19;43,28;45,444;18/08/2011;1;5;;CTN;18/08/2011
351;1544;15;5,5;5,775;26/08/2011;100;1000;;EA ;26/08/2011
