purchaseorderid;revisionnumber;status;employeeid;vendorid;shipmethodid;orderdate              ;shipdate               ;subtotal  ;taxamt   ;freight  ;modifieddate           
1;4;4;258;1580;3;16/04/2011;25/04/2011;201,04;16,08;5,0260;25/04/2011
2;4;1;254;1496;5;16/04/2011;25/04/2011;272,10;21,77;6,8025;25/04/2011
3;4;4;257;1494;2;16/04/2011;25/04/2011;8847,30;707,78;221,1825;25/04/2011
4;4;3;261;1650;5;16/04/2011;25/04/2011;171,08;13,69;4,2769;25/04/2011
5;4;4;251;1654;4;30/04/2011;09/05/2011;20397,30;1631,78;509,9325;09/05/2011
6;4;4;253;1664;3;30/04/2011;09/05/2011;14628,08;1170,25;365,7019;09/05/2011
7;4;4;255;1678;3;30/04/2011;09/05/2011;58685,55;4694,84;1467,1388;09/05/2011
8;4;4;256;1616;5;30/04/2011;09/05/2011;693,38;552,00;17,3345;09/05/2011
9;5;4;259;1492;5;14/12/2011;23/12/2011;694,17;55,53;17,3541;23/12/2011
10;4;4;250;1602;5;14/12/2011;23/12/2011;1796,04;143,68;44,9009;23/12/2011
11;4;4;258;1540;4;14/12/2011;23/12/2011;501,20;40,10;12,5299;23/12/2011
12;4;4;254;1628;5;14/12/2011;23/12/2011;34644,23;2771,54;866,1056;23/12/2011
13;4;4;257;1604;4;14/12/2011;23/12/2011;1839,51;147,16;45,9876;23/12/2011
14;4;3;261;1690;5;14/12/2011;23/12/2011;146,29;11,70;3,6572;23/12/2011
15;4;4;251;1566;5;14/12/2011;23/12/2011;102,56;8,21;2,5641;23/12/2011
16;4;4;253;1698;5;14/12/2011;23/12/2011;150,79;12,06;3,7698;23/12/2011
17;4;4;255;1560;5;15/12/2011;24/12/2011;13669,43;1093,55;341,7356;24/12/2011
18;4;4;256;1692;5;15/12/2011;24/12/2011;16393,23;1311,46;409,8308;24/12/2011
19;4;4;259;1696;2;15/12/2011;24/12/2011;79204,13;6336,33;1980,1031;24/12/2011
20;4;4;260;1504;1;15/12/2011;24/12/2011;551,88;44,15;13,7970;24/12/2011
21;4;4;250;1544;1;15/12/2011;24/12/2011;6987,75;559,02;174,6938;24/12/2011
22;4;4;254;1530;2;15/12/2011;24/12/2011;28072,28;2245,78;701,8069;24/12/2011
23;4;4;257;1508;1;15/12/2011;24/12/2011;37312,28;2984,98;932,8069;24/12/2011
24;4;3;261;1694;1;15/12/2011;24/12/2011;4215,75;337,26;105,3938;24/12/2011
25;4;4;251;1624;2;15/12/2011;24/12/2011;28297,50;2263,80;707,4375;24/12/2011
26;4;4;253;1548;2;15/12/2011;24/12/2011;59,94;4,80;1,4986;24/12/2011
27;4;4;255;1598;4;15/12/2011;24/12/2011;722,61;57,81;18,0653;24/12/2011
28;4;4;256;1658;5;15/12/2011;24/12/2011;43878,45;3510,28;1096,9613;24/12/2011
29;4;4;259;1536;4;08/01/2012;17/01/2012;592,80;47,42;14,8200;17/01/2012
30;4;4;260;1568;2;08/01/2012;17/01/2012;21252,00;1700,16;531,3000;17/01/2012
31;4;4;258;1648;5;08/01/2012;17/01/2012;142,41;11,39;3,5603;17/01/2012
32;6;4;254;1646;2;08/01/2012;17/01/2012;28794,15;2303,53;719,8538;17/01/2012
33;4;4;257;1672;4;16/01/2012;25/01/2012;421,16;33,69;10,5289;25/01/2012
34;4;3;261;1600;1;16/01/2012;25/01/2012;1276,28;102,10;31,9069;25/01/2012
35;4;4;251;1522;1;16/01/2012;25/01/2012;2003,93;160,31;50,0981;25/01/2012
36;4;4;253;1570;2;16/01/2012;25/01/2012;50860,43;4068,83;1271,5106;25/01/2012
37;4;4;255;1516;1;16/01/2012;25/01/2012;454,86;36,39;11,3715;25/01/2012
38;6;4;256;1506;5;16/01/2012;25/01/2012;43878,45;3510,28;1096,9613;25/01/2012
39;4;4;252;1626;2;16/01/2012;25/01/2012;7132,13;570,57;178,3031;25/01/2012
40;4;4;260;1542;2;16/01/2012;25/01/2012;28343,70;2267,50;708,5925;25/01/2012
41;4;4;258;1610;4;16/01/2012;25/01/2012;22516,73;1801,34;562,9181;25/01/2012
42;5;4;254;1638;5;16/01/2012;25/01/2012;34644,23;2771,54;866,1056;25/01/2012
43;4;4;257;1582;5;16/01/2012;25/01/2012;427,93;34,23;10,6982;25/01/2012
44;4;3;261;1510;5;16/01/2012;25/01/2012;143,04;11,44;3,5760;25/01/2012
45;4;4;250;1526;2;16/01/2012;25/01/2012;28199,33;2255,95;704,9831;25/01/2012
46;4;4;253;1644;1;16/01/2012;25/01/2012;3713,33;297,07;92,8331;25/01/2012
47;4;4;255;1680;5;16/01/2012;25/01/2012;63831,08;5106,49;1595,7769;25/01/2012
48;4;4;256;1584;5;16/01/2012;25/01/2012;16340,31;1307,22;408,5078;25/01/2012
49;4;4;259;1620;5;20/01/2012;29/01/2012;5711,48;456,92;142,7869;29/01/2012
50;5;4;260;1666;5;20/01/2012;29/01/2012;429,35;34,35;10,7336;29/01/2012
51;4;4;258;1592;2;20/01/2012;29/01/2012;97,97;7,84;2,4491;29/01/2012
52;4;4;254;1618;4;20/01/2012;29/01/2012;114,47;9,16;2,8618;29/01/2012
53;4;4;252;1612;4;24/01/2012;02/02/2012;132,65;10,61;3,3162;02/02/2012
54;6;3;261;1586;5;24/01/2012;02/02/2012;43878,45;3510,28;1096,9613;02/02/2012
55;4;4;251;1500;1;24/01/2012;02/02/2012;418,95;33,52;10,4738;02/02/2012
56;4;4;253;1656;4;24/01/2012;02/02/2012;525,77;42,06;13,1442;02/02/2012
57;4;4;255;1572;1;24/01/2012;02/02/2012;461,79;36,94;11,5448;02/02/2012
58;4;4;256;1562;4;24/01/2012;02/02/2012;630,38;50,43;15,7595;02/02/2012
59;9;4;259;1662;2;24/01/2012;02/02/2012;37,08;2,97;0,9269;02/02/2012
60;4;4;260;1682;4;24/01/2012;02/02/2012;21558,08;1724,65;538,9519;02/02/2012
61;4;4;258;1686;4;24/01/2012;02/02/2012;507,09;40,57;12,6772;02/02/2012
62;4;4;254;1684;5;24/01/2012;02/02/2012;41048,70;3283,90;1026,2175;02/02/2012
63;4;4;257;1534;5;24/01/2012;02/02/2012;429,35;34,35;10,7336;02/02/2012
64;5;3;261;1614;5;24/01/2012;02/02/2012;279,15;22,33;6,9788;02/02/2012
65;4;4;251;1588;5;24/01/2012;02/02/2012;40471,20;3237,70;1011,7800;02/02/2012
66;5;4;253;1622;5;24/01/2012;02/02/2012;563,57;45,09;14,0892;02/02/2012
67;4;4;255;1632;5;24/01/2012;02/02/2012;62092,80;4967,42;1552,3200;02/02/2012
68;5;4;256;1608;5;24/01/2012;02/02/2012;5948,25;475,86;148,7063;02/02/2012
69;4;4;259;1576;5;25/01/2012;03/02/2012;91117,95;7289,44;2277,9488;03/02/2012
70;5;4;260;1590;1;25/01/2012;03/02/2012;525,00;42,00;13,1250;03/02/2012
71;4;4;258;1514;5;25/01/2012;03/02/2012;2003,68;160,29;50,0921;03/02/2012
72;4;4;254;1498;4;25/01/2012;03/02/2012;26455,28;2116,42;661,3819;03/02/2012
73;4;4;257;1674;2;09/02/2012;18/02/2012;944,37;75,55;23,6093;18/02/2012
74;6;3;261;1652;4;09/02/2012;18/02/2012;44594,55;3567,56;1114,8638;18/02/2012
75;4;4;251;1578;3;09/02/2012;18/02/2012;62843,55;5027,48;1571,0888;18/02/2012
76;4;4;253;1538;5;09/02/2012;18/02/2012;37843,58;3027,49;946,0894;18/02/2012
77;4;4;252;1556;4;09/02/2012;18/02/2012;25531,28;2042,50;638,2819;18/02/2012
78;4;4;256;1554;5;09/02/2012;18/02/2012;694,17;55,53;17,3541;18/02/2012
79;4;4;259;1688;4;09/02/2012;18/02/2012;125,75;10,06;3,1437;18/02/2012
80;4;4;260;1580;5;09/02/2012;18/02/2012;150,79;12,06;3,7698;18/02/2012
81;4;4;258;1496;5;09/02/2012;18/02/2012;560,01;44,80;142,0000;18/02/2012
82;5;4;254;1494;2;09/02/2012;18/02/2012;8847,30;707,78;221,1825;18/02/2012
83;4;4;257;1650;5;09/02/2012;18/02/2012;171,08;13,69;4,2769;18/02/2012
84;4;3;261;1654;4;09/02/2012;18/02/2012;20397,30;1631,78;509,9325;18/02/2012
85;4;4;251;1664;3;09/02/2012;18/02/2012;14628,08;1170,25;365,7019;18/02/2012
86;5;4;253;1678;3;09/02/2012;18/02/2012;58685,55;4694,84;1467,1388;18/02/2012
87;4;4;255;1616;5;09/02/2012;18/02/2012;773,01;61,84;19,3253;18/02/2012
88;5;4;252;1492;5;09/02/2012;18/02/2012;656,59;52,53;16,4147;18/02/2012
89;4;4;259;1602;5;23/02/2012;03/03/2012;1796,04;143,68;44,9009;03/03/2012
90;4;4;260;1540;4;23/02/2012;03/03/2012;358,63;28,69;8,9657;03/03/2012
91;4;4;258;1628;5;23/02/2012;03/03/2012;34644,23;2771,54;866,1056;03/03/2012
92;4;4;250;1604;4;23/02/2012;03/03/2012;257,58;20,61;6,4394;03/03/2012
93;4;4;257;1690;5;27/02/2012;07/03/2012;146,29;11,70;3,6572;07/03/2012
94;4;3;261;1566;5;27/02/2012;07/03/2012;102,56;8,21;2,5641;07/03/2012
95;4;4;251;1698;5;27/02/2012;07/03/2012;150,79;12,06;3,7698;07/03/2012
96;4;4;253;1560;5;27/02/2012;07/03/2012;13669,43;1093,55;341,7356;07/03/2012
97;6;4;255;1692;5;08/03/2012;17/03/2012;16393,23;1311,46;409,8308;17/03/2012
98;4;4;256;1696;4;08/03/2012;17/03/2012;73377,15;5870,17;1834,4288;17/03/2012
99;4;4;259;1504;1;08/03/2012;17/03/2012;551,88;44,15;13,7970;17/03/2012
100;4;4;260;1544;1;08/03/2012;17/03/2012;6987,75;559,02;174,6938;17/03/2012
101;5;4;258;1530;2;08/03/2012;17/03/2012;28072,28;2245,78;701,8069;17/03/2012
102;4;4;254;1508;1;08/03/2012;17/03/2012;35394,98;2831,60;884,8744;17/03/2012
103;4;4;257;1694;1;08/03/2012;17/03/2012;3407,25;272,58;85,1813;17/03/2012
104;4;3;261;1624;2;08/03/2012;17/03/2012;28297,50;2263,80;707,4375;17/03/2012
105;4;4;251;1548;2;08/03/2012;17/03/2012;59,94;4,80;1,4986;17/03/2012
106;4;4;253;1598;4;08/03/2012;17/03/2012;332,96;26,64;8,3239;17/03/2012
107;4;4;255;1658;5;08/03/2012;17/03/2012;43878,45;3510,28;1096,9613;17/03/2012
108;4;4;256;1536;4;08/03/2012;17/03/2012;674,38;53,95;16,8596;17/03/2012
109;4;4;259;1568;2;08/03/2012;17/03/2012;31398,68;2511,89;784,9669;17/03/2012
110;4;4;250;1648;5;08/03/2012;17/03/2012;142,41;11,39;3,5603;17/03/2012
111;4;4;258;1646;5;08/03/2012;17/03/2012;19236,53;1538,92;480,9131;17/03/2012
112;4;4;254;1672;4;08/03/2012;17/03/2012;272,44;21,80;6,8111;17/03/2012
113;5;4;257;1600;1;09/03/2012;18/03/2012;1276,28;102,10;31,9069;18/03/2012
114;4;3;261;1522;1;09/03/2012;18/03/2012;2003,93;160,31;50,0981;18/03/2012
115;4;4;251;1570;2;09/03/2012;18/03/2012;50860,43;4068,83;1271,5106;18/03/2012
116;4;4;253;1516;1;09/03/2012;18/03/2012;454,86;36,39;11,3715;18/03/2012
117;4;4;255;1506;5;09/03/2012;18/03/2012;43878,45;3510,28;1096,9613;18/03/2012
118;5;4;256;1626;2;09/03/2012;18/03/2012;7132,13;570,57;178,3031;18/03/2012
119;4;4;259;1542;2;09/03/2012;18/03/2012;28343,70;2267,50;708,5925;18/03/2012
120;4;4;260;1610;4;09/03/2012;18/03/2012;22516,73;1801,34;562,9181;18/03/2012
121;4;4;250;1638;5;09/03/2012;18/03/2012;34644,23;2771,54;866,1056;18/03/2012
122;4;4;254;1582;4;09/03/2012;18/03/2012;266,24;21,30;6,6560;18/03/2012
123;5;4;257;1510;5;09/03/2012;18/03/2012;143,04;11,44;3,5760;18/03/2012
124;4;3;261;1526;2;09/03/2012;18/03/2012;28199,33;2255,95;704,9831;18/03/2012
125;4;4;251;1644;1;09/03/2012;18/03/2012;3713,33;297,07;92,8331;18/03/2012
126;4;4;253;1680;5;09/03/2012;18/03/2012;63831,08;5106,49;1595,7769;18/03/2012
127;4;4;255;1584;5;09/03/2012;18/03/2012;16340,31;1307,22;408,5078;18/03/2012
128;4;4;256;1620;5;09/03/2012;18/03/2012;5711,48;456,92;142,7869;18/03/2012
129;4;4;259;1666;4;14/03/2012;23/03/2012;665,03;53,20;16,6257;23/03/2012
130;4;4;260;1592;2;14/03/2012;23/03/2012;97,97;7,84;2,4491;23/03/2012
131;4;4;258;1618;4;14/03/2012;23/03/2012;114,47;9,16;2,8618;23/03/2012
132;6;4;254;1612;4;14/03/2012;23/03/2012;132,65;10,61;3,3162;23/03/2012
133;4;4;257;1586;5;28/03/2012;06/04/2012;43878,45;3510,28;1096,9613;06/04/2012
134;4;3;261;1500;1;28/03/2012;06/04/2012;418,95;33,52;10,4738;06/04/2012
135;4;4;251;1656;4;28/03/2012;06/04/2012;3413,25;273,06;85,3311;06/04/2012
136;4;4;253;1572;1;28/03/2012;06/04/2012;461,79;36,94;11,5448;06/04/2012
137;6;4;255;1562;4;11/04/2012;20/04/2012;722,45;57,80;18,0613;20/04/2012
138;4;4;256;1662;2;11/04/2012;20/04/2012;37,08;2,97;0,9269;20/04/2012
139;5;4;252;1682;4;11/04/2012;20/04/2012;21558,08;1724,65;538,9519;20/04/2012
140;4;4;260;1686;4;11/04/2012;20/04/2012;351,86;28,15;8,7964;20/04/2012
141;4;4;258;1684;4;11/04/2012;20/04/2012;45172,05;3613,76;1129,3013;20/04/2012
142;6;4;254;1534;4;11/04/2012;20/04/2012;267,18;21,37;6,6796;20/04/2012
143;4;4;257;1614;5;11/04/2012;20/04/2012;415,80;33,26;10,3950;20/04/2012
144;5;3;261;1588;5;11/04/2012;20/04/2012;40471,20;3237,70;1011,7800;20/04/2012
145;4;4;250;1622;4;11/04/2012;20/04/2012;662,10;52,97;16,5525;20/04/2012
146;4;4;253;1632;5;11/04/2012;20/04/2012;62092,80;4967,42;1552,3200;20/04/2012
147;4;4;255;1608;5;11/04/2012;20/04/2012;5948,25;475,86;148,7063;20/04/2012
148;4;4;256;1576;5;11/04/2012;20/04/2012;91117,95;7289,44;2277,9488;20/04/2012
149;4;4;259;1590;1;11/04/2012;20/04/2012;525,00;42,00;13,1250;20/04/2012
150;4;4;260;1514;5;11/04/2012;20/04/2012;2003,68;160,29;50,0921;20/04/2012
151;5;4;258;1498;4;11/04/2012;20/04/2012;26455,28;2116,42;661,3819;20/04/2012
152;4;4;254;1674;2;11/04/2012;20/04/2012;944,37;75,55;23,6093;20/04/2012
153;4;4;252;1652;1;02/05/2012;11/05/2012;6993,53;559,48;174,8381;11/05/2012
154;4;3;261;1578;3;02/05/2012;11/05/2012;36122,63;2889,81;903,0656;11/05/2012
155;4;4;251;1538;5;02/05/2012;11/05/2012;37843,58;3027,49;946,0894;11/05/2012
156;5;4;253;1556;4;02/05/2012;11/05/2012;25531,28;2042,50;638,2819;11/05/2012
157;4;4;255;1554;5;30/05/2012;08/06/2012;773,96;61,92;19,3489;08/06/2012
158;4;4;256;1688;4;30/05/2012;08/06/2012;125,75;10,06;3,1437;08/06/2012
159;4;4;259;1580;5;30/05/2012;08/06/2012;150,79;12,06;3,7698;08/06/2012
160;4;4;260;1496;4;30/05/2012;08/06/2012;391,55;31,32;9,7886;08/06/2012
161;4;4;258;1494;2;30/05/2012;08/06/2012;8847,30;707,78;221,1825;08/06/2012
162;4;4;254;1650;5;30/05/2012;08/06/2012;171,08;13,69;4,2769;08/06/2012
