PURCHASEORDERID;ORDERDATE;PURCHASEORDERDETAILID;ORDERQTY;PRODUCTID
3;16/04/2011;4;550;530
5;30/04/2011;6;550;512
6;30/04/2011;7;550;513
7;30/04/2011;8;550;317
7;30/04/2011;9;550;318
7;30/04/2011;10;550;319
12;14/12/2011;28;550;941
17;15/12/2011;35;550;523
17;15/12/2011;36;550;524
19;15/12/2011;42;550;908
19;15/12/2011;43;550;909
19;15/12/2011;44;550;910
19;15/12/2011;45;550;911
19;15/12/2011;46;550;912
21;15/12/2011;48;550;351
21;15/12/2011;49;550;352
21;15/12/2011;50;550;679
22;15/12/2011;51;550;507
22;15/12/2011;52;550;508
23;15/12/2011;53;550;355
23;15/12/2011;54;550;940
23;15/12/2011;55;550;535
24;15/12/2011;56;550;351
24;15/12/2011;57;550;352
25;15/12/2011;58;550;507
25;15/12/2011;59;550;508
28;15/12/2011;67;550;935
28;15/12/2011;68;550;936
30;08/01/2012;74;550;476
30;08/01/2012;75;550;477
30;08/01/2012;76;550;478
32;08/01/2012;78;550;510
32;08/01/2012;79;550;511
34;16/01/2012;83;550;525
35;16/01/2012;84;550;526
36;16/01/2012;85;550;908
36;16/01/2012;86;550;909
36;16/01/2012;87;550;913
38;16/01/2012;90;550;935
38;16/01/2012;91;550;936
39;16/01/2012;92;550;524
40;16/01/2012;93;550;911
40;16/01/2012;94;550;912
41;16/01/2012;95;550;910
42;16/01/2012;96;550;937
45;16/01/2012;101;550;510
45;16/01/2012;102;550;511
46;16/01/2012;103;550;527
47;16/01/2012;104;550;938
47;16/01/2012;105;550;939
47;16/01/2012;106;550;509
49;20/01/2012;112;550;523
54;24/01/2012;120;550;938
54;24/01/2012;121;550;939
60;24/01/2012;135;550;513
62;24/01/2012;140;550;931
62;24/01/2012;141;550;932
65;24/01/2012;147;550;931
65;24/01/2012;148;550;932
67;24/01/2012;153;550;928
67;24/01/2012;154;550;929
67;24/01/2012;155;550;930
68;24/01/2012;156;550;332
69;25/01/2012;157;550;948
69;25/01/2012;158;550;907
70;25/01/2012;159;1250;325
70;25/01/2012;160;1250;326
72;25/01/2012;164;550;930
72;25/01/2012;165;550;921
74;09/02/2012;167;550;933
74;09/02/2012;168;550;934
75;09/02/2012;169;550;317
75;09/02/2012;170;550;318
75;09/02/2012;171;550;319
76;09/02/2012;172;550;928
76;09/02/2012;173;550;929
77;09/02/2012;174;550;319
